1253340635739893760,Eric Njoka Ledama ????,eriknjoka,"So, the Governor of Meru found it wise to marshal people, actually GATHER Meruans, to sensitize them about Corona v… https://t.co/b4ksL6C8mw",04/23/2020 15:11:08,0,0,http://pbs.twimg.com/profile_images/1220103388676939776/-zcoGY1y_normal.jpg
1253340635643277328,Suvishal Reddy,tsuvishal,"RT @ramanmann1974: Migrant labor were kept in #corona #quarantine in a school in #Sikar, the school hadn't seen a fresh coat of paint in de…",04/23/2020 15:11:08,1607,0,http://pbs.twimg.com/profile_images/478245153539231744/WovfAEQp_normal.jpeg
1253340635278356486,Muthelo Khakhathi,muthelok,RT @Ndinema: @chadaabigail2 Vhafunzi ni songo kwata corona itshi fhela munikelo  rido ninea https://t.co/wgLZjMyB7B,04/23/2020 15:11:08,1,0,http://pbs.twimg.com/profile_images/593302962556051456/PCCwZduO_normal.jpg
1253340635257425920,Aseer Ahmed,aseerahmed,"RT @timesofindia: #Coronavirus LIVE Updates | PM Modi highlights steps taken to help most vulnerable sections during lockdown
LIVE Updates:…",04/23/2020 15:11:08,4,0,http://pbs.twimg.com/profile_images/1240494583663869952/4CH0Gb_H_normal.jpg
1253340634552778752,Mohit Andurkar,mohitsmartlove,"RT @timesofindia: #Coronavirus LIVE Updates | Complete shutdown, akin to curfew, in Balasore, Bhadrak, Jajpur districts from 10 pm Thursday…",04/23/2020 15:11:07,4,0,http://pbs.twimg.com/profile_images/1251709921852186624/4syVdQSJ_normal.jpg
1253340633952956416,Ashish Merkhed (???? ??????),AshishMerkhed,"RT @NagpurPolice: ?? ???????? ??.?????????,????. ???? ?????? @AnilDeshmukhNCP 
????? ??.????? ?????? ??.????.????????? ????????  ??????????…",04/23/2020 15:11:07,3,0,http://pbs.twimg.com/profile_images/1253138312681799680/OjpZrYi-_normal.jpg
1253340633709740032,Purva ??????,Purva007,"RT @ABPNews: GhantiBajao ?????? : #Corona ?????? ???????? ?? ????? ?? ????? ???

??? ?? ????????? ??? ???? ???? ?????????

????? ?? ??? 10:…",04/23/2020 15:11:07,7,0,http://pbs.twimg.com/profile_images/1253010915210989568/1tR1iTr8_normal.jpg
1253340633546125326,Sunil Meel,SunilMe26574983,RT @DrShriKrishnaC1: @rajannareda2 @RaghusharmaINC @RajCMO @ashokgehlot51 @RajGovOfficial #jan2020MOexam_???-???-????-????-???-????????-??-…,04/23/2020 15:11:07,5,0,http://pbs.twimg.com/profile_images/1244849869430255618/Hn6eVj3I_normal.jpg
1253340633399308301,Trill_xo,_Trill_xo,RT @john95c: Mp7 is such a godly weapon in situations like this ?? Follow me on Twitch @ itchyoctopus #CallofDuty #CallofDutyModernWarfare #…,04/23/2020 15:11:07,3,0,http://pbs.twimg.com/profile_images/984449997243633664/GTuxNLO-_normal.jpg
1253340633323855873,Seda,sedaakdemirrr,Düzgün bi zamanda dogru bir sekilde konusuruz demistin;sanirim o zaman hiç gelmicek?? #Corona #EvdeKal,04/23/2020 15:11:07,0,0,http://pbs.twimg.com/profile_images/1252225650330607618/37rhCwgA_normal.jpg
1253340633105747968,WunmiOniCake??,bwinkkie_cakes,RT @YemieFASH: When their ignorant bothers were shouting ba corona up and down and drinking water they used to wash their faces and hands t…,04/23/2020 15:11:07,234,0,http://pbs.twimg.com/profile_images/1236602146864410625/5BriSpMc_normal.jpg
1253340633097371651,???? ????????o´?????,_MrMightyman_,"RT @Sam66432: Dr Mathobela Matjekane, You are a shining light in this crisis. Your comments about  Corona are so poignant. We support you a…",04/23/2020 15:11:07,223,0,http://pbs.twimg.com/profile_images/1250970074795704321/CZbtT8Q2_normal.jpg
1253340632795328514,Bharatwasi,surukim,"RT @tathagata2: Two things I've never heard of in my life. Will someone please bear me out or rebut me?
1. Mobile phones help spread corona…",04/23/2020 15:11:07,538,0,http://pbs.twimg.com/profile_images/870178174126006272/xdkLAFxP_normal.jpg
1253340632610795523,Internet Demon.,ElStache,"CORONA GIRL, PLZ JUST WIPE THEM OUT SO WE CAN GO OUTSIDE ALREADY! https://t.co/JxsGsn6dN7",04/23/2020 15:11:07,0,0,http://pbs.twimg.com/profile_images/1172574658614505473/2A_UQK6Z_normal.jpg
1253340632338141192,LostSoul,Warishacasm1,"RT @sidharth_unity: @sidharth_shukla Yes of course sir no ldaayi only pyaar ~

Hume tumse pyaar itna ye hum nahi jaante magar ji nahi sakte…",04/23/2020 15:11:07,221,0,http://pbs.twimg.com/profile_images/1249338082312122369/jIT34RUm_normal.jpg
1253340632229142533,Quarantine 19,suchit_sid,"Corona Tracker-India 23-April 

#covid19 #india #coronavirus #corona #coronaalert #coronawarriors #dailynews… https://t.co/rJdNHFyWuv",04/23/2020 15:11:07,0,0,http://pbs.twimg.com/profile_images/1244577686464258048/y6Eiivzw_normal.jpg
1253340631918731267,SLECHTVOLK?? #StayAtHome,SLECHTVOLK,"RT @demo_demo_nl: Niet te geloven dit.
Zit je in - volgens de @MinPres - de grootste crisis in decennia en dan wordt er minder getest dan n…",04/23/2020 15:11:07,277,0,http://pbs.twimg.com/profile_images/1218830915306164225/n9fF16pw_normal.jpg
1253340631365226496,dotkrawl | Kris,dotkrawl,"RT @LaVieVagabonde: ""SPIEGEL: Unser bekannter Alltag ist noch weit entfernt?

Brinkmann: Leider ja - und zwar noch sehr weit. Es ist eine I…",04/23/2020 15:11:07,300,0,http://pbs.twimg.com/profile_images/1193229675138555905/5fLbIDwx_normal.png
1253340631180722176,FDP Rheinland-Pfalz,fdprlp,"RT @Wissing: Wenn die soziale Marktwirtschaft hält, was der Name verspricht: @Daimler stellt Rheinland-Pfalz 2.500 im 3D-Druckverfahren her…",04/23/2020 15:11:07,1,0,http://pbs.twimg.com/profile_images/712635049699581952/5TEbq3gM_normal.jpg
1253340631109230594,Bea????,BeaVF74,"RT @crpandemonium: Sánchez está provocando un conflicto institucional de primer orden con el Poder Judicial, con la UE y con la Corona al m…",04/23/2020 15:11:07,342,0,http://pbs.twimg.com/profile_images/1165609726417285121/jdjFSPL4_normal.jpg
1253340631092482048,HSV Reporter,HSVreport,RT @Andreas__Rinke: Warum die Suche nach der Ursache des Corona-Ausbruchs in Wuhan eine politische Dimension hat...  https://t.co/16d1oHgP7…,04/23/2020 15:11:07,187,0,http://pbs.twimg.com/profile_images/3694083154/ba5b4e9071b96d81cb73d663a1abc685_normal.jpeg
1253340630408806406,Karthik Virat,ChakrIndala,"RT @_TTT_Official: DonateD Corona Crisis FunD To The Whole South InDian States ?? !
Even He MaDe Our TeluGu Thalapathy Fans ProuD With His G…",04/23/2020 15:11:06,23,0,http://pbs.twimg.com/profile_images/1253186677142503424/NEemABik_normal.jpg
1253340630161387523,Denise Ruffra,DRuffra,RT @the_ironsheik: I MAKE THE CORONA VIRUS HUMBLE https://t.co/TELXMI8XdI,04/23/2020 15:11:06,945,0,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png
1253340630081650689,Hareswar Rabha,rabha_hareswar,"All world fighting with the Corona, but no one each or country did not proof that it's a bio warfare.....?? Why?????",04/23/2020 15:11:06,0,0,http://pbs.twimg.com/profile_images/1252826098536046592/oMlaIVCC_normal.jpg
1253340630014545920,Moi,mkayg3,"RT @drjoelshulkin: I thought for sure Influenza Musk was a typical Twitter misspelling of ""Influenza Mask"". But, no.

I guess Elon thought…",04/23/2020 15:11:06,11,0,http://pbs.twimg.com/profile_images/905156557025021952/Otbo0kgv_normal.jpg
1253340629943193605,Sanidhya,UnfunnyGuyy,"I wanna ignore people, 
Just like everybody collectively ignore the ""who"" part in who called it ""...."".

#dankmemes… https://t.co/JD1x4D0joI",04/23/2020 15:11:06,0,0,http://pbs.twimg.com/profile_images/1248595159933042688/xXMc1nHY_normal.jpg
1253340629830008833,Amit Singh,singhsahab1282,RT @ANI: The second #coronavirus patient of Tripura has been found NEGATIVE after consecutive tests. Hence our state has become Corona free…,04/23/2020 15:11:06,17,0,http://pbs.twimg.com/profile_images/1251427136209997824/QJCppdo7_normal.jpg
1253340629666369537,lindsay hanekom,lindzor93,"@PresidencyZA @CyrilRamaphosa @ParliamentofRSA the people infected and have symptoms for Corona Virus, can't you se… https://t.co/GCEJwprPLJ",04/23/2020 15:11:06,0,0,http://pbs.twimg.com/profile_images/834081995479203841/rB_csZf1_normal.jpg
1253340629637066753,KUNWAR VIJAY RAGHAV SINGH,VIJAYraghavSING,RT @ANI: The second #coronavirus patient of Tripura has been found NEGATIVE after consecutive tests. Hence our state has become Corona free…,04/23/2020 15:11:06,17,0,http://pbs.twimg.com/profile_images/1210043003/VIJAY_normal.jpg
1253340629163098118,Thomas Møller Sørensen,thomasmollers,"RT @DIBusinessdk: ""Da Mette Frederiksen holdt det første pressemøde blev jeg sgu bekymret. Ikke kun for økonomien i min virksomhed, men min…",04/23/2020 15:11:06,4,0,http://pbs.twimg.com/profile_images/997406866165547010/6T-2G9d__normal.jpg
1253340628789997569,heise online,heiseonline,Corona-App per PEPP-PT: Kanzleramt soll bei Apple Druck machen https://t.co/p2PIntypNq #PEPPPT #Apple,04/23/2020 15:11:06,0,0,http://pbs.twimg.com/profile_images/615190234758782976/P-Kawo-P_normal.png
1253340628521385987,Abi Manjolai,abi_manjolai,"RT @NairShilpa1308: After 'Corona helmet' cop, now 'Corona Auto' will go around the streets of Chennai to spread awareness among people abo…",04/23/2020 15:11:06,4,0,http://pbs.twimg.com/profile_images/1246084428650008577/qORB8nNa_normal.jpg
1253340628336836608,Love4All,AhmadiyyatUSA,"RT @pressahmadiyya: ""...it seems I can’t survive and I am about to leave this world"".

READ Part 2 of Ibrahim Ikhlaf sahib’s personal accou…",04/23/2020 15:11:06,25,0,http://pbs.twimg.com/profile_images/1178284380558639105/6u0O8eiy_normal.jpg
1253340628156444675,william,diolindowill,"Queria ter tido um presidente consciente, que fizesse as coisas certas para que tbm pudéssemos ser exemplos sobre o… https://t.co/au8cZCsgYH",04/23/2020 15:11:06,0,0,http://pbs.twimg.com/profile_images/1242292913675124736/usP9HCwG_normal.jpg
1253340627946754050,Arisleny,aris_canestri,"RT @euotrouxa: eu qnd lembro q meu ano tava perfeito ate o corona chegar e estragar tudo

https://t.co/kT2SH7spXR",04/23/2020 15:11:06,1685,0,http://pbs.twimg.com/profile_images/1197255114182078475/3lrCekxL_normal.jpg
1253340627682471936,Quarantine Tenemazamu!,JeremiahMusisiK,RT @ThatMasakaOtaku: Mpozi where are yalls prophets and men of God and Apostles with miraculous healing powers and supernatural abilities?…,04/23/2020 15:11:06,3,0,http://pbs.twimg.com/profile_images/1233021624351326208/k735ucee_normal.jpg
1253340627460165634,jackie,jackiegrace__,thinking ab the man that used to run up high gate hill every morning. he’s probably immune to corona,04/23/2020 15:11:06,0,0,http://pbs.twimg.com/profile_images/1216487824368852993/FNrdZd4X_normal.jpg
1253340627187556352,Toy,nubianGERM,@_slimarella_ Unless u cant renew bc of Corona virus ??,04/23/2020 15:11:06,0,0,http://pbs.twimg.com/profile_images/1253282157612630017/hhTxBNY8_normal.jpg
1253340626881372167,????? ?? ????,mgbool,"???? ??? ??? ???? ???? ?? ? ?????? .""

Whatever we are going through, it will end. "" #COVID19 #Corona",04/23/2020 15:11:06,0,0,http://pbs.twimg.com/profile_images/1136856147439149057/4_E5t_qY_normal.jpg
1253340626667687936,Cat,Catbuttons,"RT @DeepStateExpose: RETWEET! BANNED VIDEO: 2009 TV SERIES, ""V"" PREDICTED (PREDICTIVE PROGRAMMING) GATES' MANDATORY INOCULATION, THE CORONA…",04/23/2020 15:11:05,1322,0,http://pbs.twimg.com/profile_images/1195303062216364032/qiQwkpDz_normal.jpg
1253340626264842242,?????? ?????? ?????,ta4OGwMFnRdWXBk,"RT @PrakashJavdekar: #Corona ?? ????? ??? ??? ?????? ?????? ???? ??????, ????, ????? ????? , ???????? ??????????, ??? ????????, ???? ?????…",04/23/2020 15:11:05,70,0,http://pbs.twimg.com/profile_images/1241794721552318464/254M1Sez_normal.jpg
1253340626231234561,EU_Cedefop,Cedefop,?? Has the #coronavirus crisis made us all #crowdworkers? Will online #crowdwork boom in the post-corona era? What… https://t.co/bIOjSCxDHr,04/23/2020 15:11:05,0,0,http://pbs.twimg.com/profile_images/973218059518468096/1gqLHqXN_normal.jpg
1253340625514029057,miya ??,revelheaux,i will literally die if my baby gets corona https://t.co/oq8rXzJbMq,04/23/2020 15:11:05,0,0,http://pbs.twimg.com/profile_images/1252284158744727553/--Kj0jUa_normal.jpg
1253340624935215106,Mona0708,Ramonita0708,Corona virus song parody of Don’t stand so close to me...Covid-19 Chris ... https://t.co/CGYnclunbI via @YouTube Si… https://t.co/B9b8XSGSxw,04/23/2020 15:11:05,0,0,http://pbs.twimg.com/profile_images/1009651925275500546/8tp04_qu_normal.jpg
1253340624922701824,wendel em ??,whoiswenz,só chovendo msm pra fazer os telejornais de Salvador mudar o foco do corona um pouco,04/23/2020 15:11:05,0,0,http://pbs.twimg.com/profile_images/1238637914483015680/qSTX5l6o_normal.jpg
1253340624486404101,vinay(FAGANA G),199237Vina,"RT @DrShriKrishnaC1: @RajGovOfficial @RaghusharmaINC #jan2020MOexam_???-???-????-????-???-????????-??-??????-???????-??????
#jan2020MOexam…",04/23/2020 15:11:05,5,0,http://pbs.twimg.com/profile_images/700161941793157121/v6hWUNIZ_normal.jpg
1253340624398323714,Alf Bicknell,BicknellAlf,@JOHN_MOSH78 @TomFitton @realDonaldTrump Sweden reported its highest number of deaths from the Corona virus yesterday,04/23/2020 15:11:05,0,0,http://pbs.twimg.com/profile_images/1141369872133304321/znslH9NS_normal.jpg
1253340624318681091,jackie t,jackiet52,"RT @MadokaMeowgica: Friend died last night from corona. She was immunocompromised and did everything she was supposed to in a quarantine, b…",04/23/2020 15:11:05,7472,0,http://pbs.twimg.com/profile_images/1008826916583936001/z_05bV3I_normal.jpg
1253340623966359567,Thenali,RaghunathgN,"RT @Zuniee3: #FeminismIsCoronaVirus logic beats everything else on planet earth. 
#corona https://t.co/wC12gNS9qf",04/23/2020 15:11:05,8,0,http://pbs.twimg.com/profile_images/671587624620974080/BJkYhE2T_normal.jpg
1253340623744180224,Corno Bot,bot_corno,"RT @feeryamamoto: @tchulim Não deve ser nada fácil pra quem é traído, o fdp além de correr risco de passar DST/IST agora também corre o ris…",04/23/2020 15:11:05,4,0,http://pbs.twimg.com/profile_images/1249494908995604480/x6LGYxom_normal.jpg
